,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,percentualRisco,valorAprovado,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,solicitacaoDuplicada
0,KEBE17609492220843,0.0,0.252448306,0.0,2015,0.0,0.0,50000.0,0,1,0.2830188679245283,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766880.0,0.0,12.0,0.0,3,90000.0,0,1,1.0,43200.0,1
1,JRBK88908250677300,0.0,0.0,0.0,2019,0.0,0.0,10000.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0
2,GCVQ28531614261293,0.0031620553359683794,0.6247772648,0.0,2019,0.0,0.0,20000.0,0,1,0.2830188679245283,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814940.0,0.0,7.0,0.0,1,20000.0,0,1,1.0,4320.0,1
3,KJND32266018316396,0.015810276679841896,0.0,0.0,2017,0.0,0.0,25000.0,0,3,0.6037735849056604,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285274.0,0.0,12.0,0.0,1,30000.0,0,1,0.0,5920.0,1
4,CGQN15826802440348,0.015810276679841896,0.4540878993,0.0,2010,0.012461059190031154,1486.95,50000.0,0,1,0.1698113207547169,50000.0,14758917.0,12149031.0,25793410.0,14544378.0,3039112.0,11797928.0,3047791.0,40779757.0,81459809.0,9.0,40680051.0,3,75000.0,0,0,1.0,89000.0,1
5,KAYS53232027306925,0.0,0.0,0.0,2019,0.0,0.0,25000.0,0,2,0.3773584905660377,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918476.0,0.0,12.0,0.0,1,15000.0,0,1,0.0,38400.0,1
6,PYOL43118620147076,0.012648221343873518,0.0,0.0,2011,0.0,0.0,100000.0,0,2,0.4150943396226415,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239016696.0,-7540544.0,12.0,156394112.0,3,30515674.0,1,0,0.0,18132588.0,1
7,NLUX93496216176463,0.0031620553359683794,0.3501754325,0.0,2007,0.06355140186915888,208980.0,300000.0,0,0,0.0566037735849056,300000.0,17801610.0,2538069.0,19415777.0,7519758.0,0.0,3742963.0,11902384.0,11958227.0,9357949.0,9.0,0.0,3,120000.0,0,0,1.0,768233.0,1
8,LOVL82962402474134,0.03399209486166008,0.2458177861,0.0,2006,0.016822429906542057,6432.0,400000.0,0,1,0.1132075471698113,400000.0,36827690.0,13843198.0,39455945.0,25612746.0,0.0,15980275.0,11420388.0,72479551.0,6233236.0,12.0,-49267738.0,3,1000000.0,0,0,1.0,6910219.0,1
9,NXKJ36775578171965,0.018972332015810278,1.20858e-05,0.0,2011,0.0,22733.33,50000.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.8315898944,0.0,1
10,SVXA16230297135119,0.005533596837944664,0.0,0.0,2012,0.0,0.0,1000000.0,0,2,0.3962264150943396,800000.0,2127907.0,704245.0,3609498.0,2538787.0,366465.0,973971.0,942096.0,4575646.0,296634.0,6.0,-3299332.0,1,20000.0,0,1,0.0,81000.0,1
